"","year","imdb","title","test","budget","domgross","intgross","budget_2013.","domgross_2013.","intgross_2013.","totalgross2013"
"142",2012,"tt1336608","Rock of Ages","PASS",70000000,"38518613","50118613",71024700,39082470,50852278,89934748
"143",2012,"tt1656190","Safe","FAIL",33000000,"17142080","41495213",33483073,17393015,42102643,59495658
"144",2012,"tt1862079","Safety Not Guaranteed","PASS",750000,"4010957","4413188",760979,4069672,4477791,8547463
"145",2012,"tt1931533","Seven Psychopaths","FAIL",13500000,"15024049","23492318",13697621,15243980,23836212,39080192
"146",2012,"tt0938330","Silent Hill: Revelation 3D","PASS",20000000,"17530219","47944599",20292771,17786836,48646439,66433275
"147",2012,"tt1045658","Silver Linings Playbook","PASS",21000000,"132092958","227317397",21307410,134026609,230644998,364671607
"148",2012,"tt1922777","Sinister","FAIL",3000000,"48086903","87727807",3043916,48790826,89012016,137802842
"149",2012,"tt1074638","Skyfall","FAIL",200000000,"304360277","1108694081",202927713,308815675,1124923772,1433739447
"150",2012,"tt1735898","Snow White and the Huntsman","PASS",170000000,"155136755","400911200",172488556,157407735,406779965,564187700
"151",2012,"tt1876451","Sparkle","PASS",10000000,"24397469","24660323",10146386,24754613,25021315,49775928
"152",2012,"tt2101441","Spring Breakers","PASS",5000000,"14124286","30669531",5073193,14331045,31118489,45449534
"153",2012,"tt1800741","Step Up Revolution","PASS",33000000,"35074677","165552290",33483073,35588120,167975738,203563858
"154",2012,"tt1874789","Supporting Characters","FAIL",60000,"4917","4917",60878,4989,4989,9978
"155",2012,"tt1637725","Ted","FAIL",50000000,"218665740","549444574",50731928,221866693,557487654,779354347
"156",2012,"tt1232200","That&#39;s My Boy","FAIL",67500000,"36931089","58058367",68488103,37471707,58908258,96379965
"157",2012,"tt0948470","The Amazing Spider-Man","FAIL",220000000,"262030663","757890267",223220484,265866416,768984693,1034851109
"158",2012,"tt0848228","The Avengers","FAIL",60000000,"23385416","48585416",60878314,23727745,49296637,73024382
"159",2012,"tt1345836","The Dark Knight Rises","FAIL",275000000,"448139099","1079343943",279025606,454699213,1095143990,1549843203
"160",2012,"tt1560985","The Devil Inside","PASS",1000000,"53261944","101758489",1014639,54041622,103248087,157289709
"161",2012,"tt1645170","The Dictator","FAIL",65000000,"59650222","179379532",65951507,60523416,182005391,242528807
"162",2012,"tt1764651","The Expendables 2","PASS",100000000,"85028192","311979256",101463857,86272883,316546185,402819068
"163",2012,"tt1601913","The Grey","FAIL",25000000,"51580136","84339696",25365964,52335195,85574308,137909503
"164",2012,"tt0903624","The Hobbit: An Unexpected Journey","FAIL",250000000,"303003568","1014703568",253659641,307439106,1029557373,1336996479
"165",2012,"tt1392170","The Hunger Games","PASS",80000000,"408010692","684510692",81171085,413983383,694530947,1108514330
"166",2012,"tt1649419","The Impossible","FAIL",40000000,"19019882","169590606",40585543,19298306,172073169,191371475
"167",2012,"tt1258972","The Man with the Iron Fists","FAIL",15000000,"15634090","21985095",15219578,15862951,22306925,38169876
"168",2012,"tt1560747","The Master","FAIL",37500000,"16247159","25116740",38048946,16484994,25484413,41969407
"169",2012,"tt1430626","The Pirates! Band of Misfits","FAIL",55000000,"31051126","123056220",55805121,31505670,124857587,156363257
"170",2012,"tt1817273","The Place Beyond the Pines","FAIL",15000000,"21403519","47011449",15219578,21716836,47699629,69416465
"171",2012,"tt1673434","The Twilight Saga: Breaking Dawn - Part 2","FAIL",136200000,"292324737","832660037",138193773,296603952,844848985,1141452937
"172",2012,"tt1606389","The Vow","PASS",8738320,"125014030","197618160",8866236,126844056,200511006,327355062
"173",2012,"tt1298649","The Watch","FAIL",55000000,"34353000","67353000",55805121,34855879,68338951,103194830
"174",2012,"tt1596365","The Woman in Black","FAIL",15000000,"54333290","128955898",15219578,55128651,130843627,185972278
"175",2012,"tt1840417","The Words","FAIL",6000000,"11494838","12132578",6087831,11663106,12310182,23973288
"176",2012,"tt1621045","Think Like a Man","PASS",12000000,"91547205","96155124",12175663,92887325,97562697,190450022
"177",2012,"tt1859650","To Rome With Love","FAIL",21500000,"16684352","74363777",21814729,16928587,75452356,92380943
"178",2012,"tt1386703","Total Recall","FAIL",125000000,"58877969","198615996",126829821,59739858,201523449,261263307
"179",2012,"tt1496025","Underworld: Awakening","PASS",70000000,"62321039","160379930",71024700,63233330,162727662,225960992
"180",2012,"tt1655460","Wanderlust","PASS",32500000,"17288155","24159934",32975753,17541229,24513601,42054830
"181",2012,"tt1586265","What to Expect When You&#39;re Expecting","PASS",37500000,"41152203","80652203",38048946,41754612,81832836,123587448
"182",2012,"tt1870529","Won&#39;t Back Down","PASS",19000000,"5310554","5431486",19278133,5388293,5510995,10899288
"183",2012,"tt1646987","Wrath of the Titans","FAIL",150000000,"83670083","301970083",152195785,84894893,306390492,391285385
"184",2012,"tt1772341","Wreck-It Ralph","PASS",165000000,"189412677","473412677",167415363,192185407,480342759,672528166
"185",2012,"tt1790885","Zero Dark Thirty","PASS",52500000,"95720716","137720716",53268525,97121930,139736750,236858680
"186",2011,"tt1622547","30 Minutes or Less","FAIL",28000000,"37053924","40966716",28999342,38376408,42428850,80805258
"187",2011,"tt1306980","50/50","FAIL",8000000,"35016118","41334735",8285526,36265871,42810004,79075875
"188",2011,"tt1571222","A Dangerous Method","FAIL",20000000,"5702083","14807531",20713816,5905595,15336023,21241618
"190",2011,"tt1268799","A Very Harold &amp; Kumar 3D Christmas","FAIL",20000000,"35061031","36265745",20713816,36312387,37560098,73872485
"191",2011,"tt1549572","Another Earth","PASS",175000,"1321194","1781194",181246,1368348,1844766,3213114
"192",2011,"tt1772240","Apollo 18","FAIL",5000000,"17686929","26517819",5178454,18318189,27464261,45782450
"193",2011,"tt1430607","Arthur Christmas","FAIL",85000000,"46462469","147624649",88033717,48120751,152893489,201014240
"194",2011,"tt1478964","Attack the Block","PASS",13000000,"1024175","5406422",13463980,1060729,5599381,6660110
"195",2011,"tt1284575","Bad Teacher","PASS",19000000,"100292856","216412265",19678125,103872387,224136189,328008576
"196",2011,"tt1217613","Battle: Los Angeles","FAIL",70000000,"83552429","212005201",72498355,86534481,219571833,306106314
"197",2011,"tt1152398","Beastly","FAIL",17000000,"27865571","38028230",17606743,28860115,39385487,68245602
"198",2011,"tt1629705","Blackthorn","FAIL",4500000,"200558","1249765",4660609,207716,1294370,1502086
"199",2011,"tt1478338","Bridesmaids","PASS",32500000,"169106725","289263136",33659951,175142277,299587165,474729442
"200",2011,"tt0458339","Captain America: The First Avenger","FAIL",140000000,"176654505","370569776",144996710,182959443,383795703,566755146
"201",2011,"tt1216475","Cars 2","FAIL",200000000,"191450875","560155383",207138157,198283907,580147769,778431676
"202",2011,"tt1684628","Circumstance","PASS",900000,"454121","454121",932122,470329,470329,940658
"203",2011,"tt1657507","Colombiana","FAIL",40000000,"36665854","71698079",41427631,37974487,74257040,112231527
"204",2011,"tt0816462","Conan the Barbarian","FAIL",20000000,"38264085","79114085",20713816,39629760,81937729,121567489
"205",2011,"tt1598778","Contagion","PASS",60000000,"75658097","137551594",62141447,78358394,142460919,220819313
"206",2011,"tt1372686","Coriolanus","FAIL",10000000,"749641","1049641",10356908,776396,1087104,1863500
"207",2011,"tt0409847","Cowboys &amp; Aliens","FAIL",163000000,"100240551","175910315",168817598,103818215,182188693,286006908
"209",2011,"tt1650043","Diary of a Wimpy Kid: Rodrick Rules","FAIL",18000000,"52698535","73695194",18642434,54579387,76325433,130904820
"210",2011,"tt1564349","Dolphin Tale","FAIL",37000000,"72286779","96068724",38320559,74866751,99497492,174364243
"211",2011,"tt1462041","Dream House","PASS",50000000,"21302340","39932340",51784539,22062637,41357557,63420194
"212",2011,"tt0780504","Drive","FAIL",15000000,"35060689","78054825",15535362,36312033,80840663,117152696
"213",2011,"tt1596343","Fast Five","PASS",125000000,"209837675","629841284",129461348,217326947,652320815,869647762
"214",2011,"tt1622979","Final Destination 5","FAIL",40000000,"42587643","157887643",41427631,44107629,163522777,207630406
"215",2011,"tt1068242","Footloose","PASS",24000000,"51802742","63412773",24856579,53651623,65676025,119327648
"216",2011,"tt1438176","Fright Night","FAIL",30000000,"18298649","40520649",31070724,18951742,41966863,60918605
"217",2011,"tt1133985","Green Lantern","FAIL",200000000,"116601172","231201172",207138157,120762760,239452924,360215684
"218",2011,"tt0480687","Hall Pass","FAIL",36000000,"45060734","83693266",37284868,46668987,86680344,133349331
"219",2011,"tt0993842","Hanna","PASS",30000000,"40259119","65343694",31070724,41695999,67675862,109371861
"220",2011,"tt1201607","Harry Potter and the Deathly Hallows: Part 2","FAIL",125000000,"381011219","1328111219",129461348,394609809,1375512553,1770122362
"221",2011,"tt1506999","Haywire","FAIL",23000000,"18942396","22176190",23820888,19618465,22967676,42586141
"222",2011,"tt1403177","Hesher","FAIL",7000000,"382946","382946",7249836,396614,396614,793228
"223",2011,"tt1562568","Higher Ground","PASS",1800000,"841056","859182",1864243,871074,889847,1760921
"224",2011,"tt1640459","Hobo with a Shotgun","FAIL",3000000,"703372","834953",3107072,728476,864753,1593229
"225",2011,"tt1411704","Hop","FAIL",63000000,"108085305","184924333",65248520,111942955,191524428,303467383
"226",2011,"tt1499658","Horrible Bosses","PASS",35000000,"117538559","214538559",36249178,121733603,222195609,343929212
"227",2011,"tt0970179","Hugo","FAIL",180000000,"73864507","185033215",186424342,76500789,191637196,268137985
"228",2011,"tt1464540","I Am Number Four","FAIL",50000000,"55100437","145982797",51784539,57067015,151193038,208260053
"229",2011,"tt1253864","Immortals","FAIL",75000000,"83504017","211562435",77676809,86484341,219113265,305597606
